experiment,Date,Time,Months,Ring,Plot,Rep,Mesh,Trt,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt1,2014-03-13,9,9.9,R3,4,2,2mm,ambient,2.01,0.82,0.40796019900497515,0.6928304732761418
expt1,2014-03-13,9,9.9,R4,1,1,2mm,elevated,2.03,0.6,0.2955665024630542,0.5747920658851949
expt1,2014-03-13,9,9.9,R4,1,2,2mm,elevated,2.04,0.82,0.40196078431372545,0.6867196086222622
expt1,2014-03-13,9,9.9,R4,2,1,2mm,elevated,1.99,0.08,0.04020100502512563,0.20187017963033535
expt1,2014-03-13,9,9.9,R4,2,2,2mm,elevated,2.04,0.55,0.26960784313725494,0.545958804562014
expt1,2014-03-13,9,9.9,R4,3,1,2mm,elevated,2.02,0.31,0.15346534653465346,0.4025290823643094
expt1,2014-03-13,9,9.9,R4,3,2,2mm,elevated,2.02,0.45,0.22277227722772278,0.4915439240623573
expt1,2014-03-13,9,9.9,R4,4,1,2mm,elevated,2.08,0.57,0.2740384615384615,0.5509381918534084
expt1,2014-03-13,9,9.9,R4,4,2,2mm,elevated,2.07,0.55,0.2657004830917875,0.5415460385474864
expt1,2014-03-13,9,9.9,R5,1,1,2mm,elevated,2.05,0.66,0.3219512195121952,0.6033539837749939
expt1,2014-03-13,9,9.9,R5,1,2,2mm,elevated,2.01,0.69,0.34328358208955223,0.6259952232886716
expt1,2014-03-13,9,9.9,R5,2,1,2mm,elevated,2,0.61,0.305,0.5850823670467623
expt1,2014-03-13,9,9.9,R5,2,2,2mm,elevated,2.04,0.7,0.34313725490196073,0.6258411236312589
expt1,2014-03-13,9,9.9,R5,3,1,2mm,elevated,2.07,0.79,0.3816425120772947,0.6659064972272501
expt1,2014-03-13,9,9.9,R5,3,2,2mm,elevated,2,0.61,0.305,0.5850823670467623
expt1,2014-03-13,9,9.9,R5,4,1,2mm,elevated,2.09,0.44,0.2105263157894737,0.47667961158977024
expt1,2014-03-13,9,9.9,R5,4,2,2mm,elevated,2.05,0.57,0.2780487804878049,0.555423645924818
expt1,2014-03-13,9,9.9,R6,1,1,2mm,ambient,2.01,0.4,0.19900497512437815,0.4624026642048714
expt1,2014-03-13,9,9.9,R6,1,2,2mm,ambient,2.01,0.56,0.2786069651741294,0.5560463757326044
expt1,2014-03-13,9,9.9,R6,2,1,2mm,ambient,2.09,0.7,0.3349282296650718,0.6171703443664012
expt1,2014-03-13,9,9.9,R6,2,2,2mm,ambient,2.01,0.4,0.19900497512437815,0.4624026642048714
expt1,2014-03-13,9,9.9,R6,3,1,2mm,ambient,2.05,0.38,0.1853658536585366,0.44509247738481017
expt1,2014-03-13,9,9.9,R6,3,2,2mm,ambient,2,0.37,0.185,0.44462155761588984
expt1,2014-03-13,9,9.9,R6,4,1,2mm,ambient,2.06,0.31,0.15048543689320387,0.3983787106106942
expt1,2014-03-13,9,9.9,R6,4,2,2mm,ambient,2,0.63,0.315,0.595893653049473
expt1,2014-06-16,12,13,R1,1,1,2mm,elevated,2.03,0.12,0.05911330049261084,0.24559371753151377
expt1,2014-06-16,12,13,R1,1,2,2mm,elevated,2.02,0.13,0.06435643564356436,0.25648871400574763
expt1,2014-06-16,12,13,R1,2,1,2mm,elevated,2.03,0.11,0.054187192118226604,0.23493670076255127
expt1,2014-06-16,12,13,R1,2,2,2mm,elevated,2.05,0.15,0.07317073170731708,0.27391328030340417
expt1,2014-06-16,12,13,R1,3,1,2mm,elevated,2.03,0.15,0.07389162561576355,0.2752942731715546
expt1,2014-06-16,12,13,R1,3,2,2mm,elevated,2.11,0.4,0.18957345971563982,0.4504829387668839
expt1,2014-06-16,12,13,R1,4,1,2mm,elevated,2.07,0.24,0.11594202898550725,0.34745140124898977
expt1,2014-06-16,12,13,R1,4,2,2mm,elevated,2.07,0.16,0.07729468599033817,0.2817314144143096
expt1,2014-06-16,12,13,R2,1,1,2mm,ambient,2.02,0.24,0.1188118811881188,0.3519095855928548
expt1,2014-06-16,12,13,R2,1,2,2mm,ambient,2.03,0.21,0.10344827586206898,0.3274544261462247
expt1,2014-06-16,12,13,R2,2,1,2mm,ambient,2.02,0.06,0.0297029702970297,0.17321030230963247
expt1,2014-06-16,12,13,R2,2,2,2mm,ambient,2.05,0.04,0.019512195121951223,0.14014435836697797
expt1,2014-06-16,12,13,R2,3,1,2mm,ambient,2.06,0.07,0.03398058252427185,0.18539850976170202
expt1,2014-06-16,12,13,R2,3,2,2mm,ambient,2.07,0.07,0.03381642512077295,0.1849449556093708
expt1,2014-06-16,12,13,R2,4,1,2mm,ambient,2.07,0.61,0.2946859903381643,0.5738268024250911
expt1,2014-06-16,12,13,R2,4,2,2mm,ambient,2.06,0.16,0.07766990291262135,0.28243313486294463
expt1,2014-06-16,12,13,R3,1,1,2mm,ambient,2.01,0.46,0.22885572139303487,0.49881887746124803
expt1,2014-06-16,12,13,R3,1,2,2mm,ambient,2.03,0.72,0.35467980295566504,0.6379501357228147
expt1,2014-06-16,12,13,R3,2,1,2mm,ambient,2.08,0.2,0.09615384615384616,0.31528436979977653
expt1,2014-06-16,12,13,R3,2,2,2mm,ambient,2,0.1,0.05,0.2255134058981312
expt1,2014-06-16,12,13,R3,3,1,2mm,ambient,2.03,0.82,0.4039408866995074,0.6887381000211714
expt1,2014-06-16,12,13,R3,3,2,2mm,ambient,2.06,1.38,0.6699029126213591,0.9587533782924069
expt1,2014-06-16,12,13,R3,4,1,2mm,ambient,2.06,0.82,0.39805825242718446,0.682736607642663
expt1,2014-06-16,12,13,R3,4,2,2mm,ambient,2.02,0.5,0.24752475247524752,0.5207358581844834
expt1,2014-06-16,12,13,R4,1,1,2mm,elevated,2.08,0.09,0.04326923076923077,0.20954264791774627
expt1,2014-06-16,12,13,R4,1,2,2mm,elevated,2.03,0.21,0.10344827586206898,0.3274544261462247
expt1,2014-06-16,12,13,R4,2,1,2mm,elevated,2.08,0,0,0
expt1,2014-06-16,12,13,R4,2,2,2mm,elevated,2.01,0.17,0.08457711442786071,0.2950852826360592
expt1,2014-06-16,12,13,R4,3,1,2mm,elevated,2.05,0.06,0.02926829268292683,0.17192550691857567
expt1,2014-06-16,12,13,R4,3,2,2mm,elevated,2.04,0,0,0
expt1,2014-06-16,12,13,R4,4,1,2mm,elevated,2.09,0,0,0
expt1,2014-06-16,12,13,R4,4,2,2mm,elevated,2.03,0.06,0.02955665024630542,0.17277884183841033
