experiment,Date,Time,Months,Ring,Plot,Trt,prevTrt,psyllid,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt2,2017-12-18,4,3.8,R2,4,ambient,aCO2,Psyl,2.02,1.57,0.7772277227722773,1.0792524027325392
expt2,2017-12-18,4,3.8,R2,4,ambient,eCO2,noPsyl,1.94,1.47,0.7577319587628866,1.0561726356615626
expt2,2017-12-18,4,3.8,R2,4,ambient,eCO2,Psyl,2.02,1.41,0.698019801980198,0.9889980400475255
expt2,2017-12-18,4,3.8,R3,1,ambient,aCO2,noPsyl,2.03,1.41,0.6945812807881774,0.9852593204091333
expt2,2017-12-18,4,3.8,R3,1,ambient,aCO2,Psyl,2.05,1.75,0.853658536585366,1.1782459661043496
expt2,2017-12-18,4,3.8,R3,1,ambient,eCO2,noPsyl,1.95,1.51,0.7743589743589744,1.0758131255827126
expt2,2017-12-18,4,3.8,R3,1,ambient,eCO2,Psyl,2.02,1.53,0.7574257425742574,1.0558153636490872
expt2,2017-12-18,4,3.8,R3,2,ambient,aCO2,noPsyl,1.97,1.52,0.7715736040609137,1.0724886028049905
expt2,2017-12-18,4,3.8,R3,2,ambient,aCO2,Psyl,2.01,1.41,0.7014925373134329,0.992786240107203
expt2,2017-12-18,4,3.8,R3,2,ambient,eCO2,noPsyl,2.06,1.55,0.7524271844660194,1.0500047869935374
expt2,2017-12-18,4,3.8,R3,2,ambient,eCO2,Psyl,1.92,1.42,0.7395833333333334,1.0352506837771305
expt2,2017-12-18,4,3.8,R3,3,ambient,aCO2,noPsyl,2,1.52,0.76,1.0588236387454202
expt2,2017-12-18,4,3.8,R3,3,ambient,aCO2,Psyl,2,1.52,0.76,1.0588236387454202
expt2,2017-12-18,4,3.8,R3,3,ambient,eCO2,noPsyl,1.99,1.52,0.7638190954773869,1.0633070742618158
expt2,2017-12-18,4,3.8,R3,3,ambient,eCO2,Psyl,2.02,1.6,0.7920792079207921,1.0973195516735663
